Title,Date
"Friends: Temporada 2: Aquele com a nova namorada do Ross","29/06/2018"
"Friends: Temporada 1: Aquele em que Rachel fica sabendo","29/06/2018"
"Friends: Temporada 1: Aquele com o nascimento","29/06/2018"
"Friends: Temporada 1: Aquele do nojinho","29/06/2018"
"Friends: Temporada 1: Aquele com a Monica falsa","29/06/2018"
"Friends: Temporada 1: Aquele com o ortodontista maligno","29/06/2018"
"Friends: Temporada 1: Aquele em que o macaco foge","29/06/2018"
"Friends: Temporada 1: Aquele com o pôquer","29/06/2018"
"Friends: Temporada 1: Aquele com duas partes: Parte 2","29/06/2018"
"Friends: Temporada 1: Aquele com duas partes: Parte 1","29/06/2018"
"Friends: Temporada 1: Aquele com o cara chapado","29/06/2018"
"Friends: Temporada 1: Aquele dos corações doces","29/06/2018"
"Friends: Temporada 1: Aquele dos seios","28/06/2018"
"Friends: Temporada 1: Aquele com uma dúzia de lasanhas","27/06/2018"
"Friends: Temporada 1: Aquele com a Senhora Bing","27/06/2018"
"Friends: Temporada 1: Aquele com o macaco","26/06/2018"
"Friends: Temporada 1: Aquele em que o Vira-lata escapa","26/06/2018"
"Um maluco no pedaço: Temporada 2: Festa de Natal","25/06/2018"
"The West: Temporada 1: Episódio 1","25/06/2018"
"Cowboys & Aliens","24/06/2018"
"Friends: Temporada 1: Aquele em que a Vovó morre duas vezes","23/06/2018"
"Friends: Temporada 1: Aquele com o blecaute","23/06/2018"
"Friends: Temporada 1: Aquele com o traseiro","23/06/2018"
"Friends: Temporada 1: Aquele com o sabão em pó da Alemanha Oriental","23/06/2018"
"Um maluco no pedaço: Temporada 2: Faça o bem, vendo a quem","22/06/2018"
"Friends: Temporada 1: Aquele com George Stephanopoulos","22/06/2018"
"Friends: Temporada 1: Aquele com o dedão","22/06/2018"
"Friends: Temporada 1: Aquele com o ultrassom no final","22/06/2018"
"Friends: Temporada 1: Aquele onde tudo começou","22/06/2018"
"Um maluco no pedaço: Temporada 2: Convenções","22/06/2018"
"Um maluco no pedaço: Temporada 2: Ladrão que rouba ladrão","22/06/2018"
"Um maluco no pedaço: Temporada 2: Tudo em família","21/06/2018"
"Um maluco no pedaço: Temporada 2: Pode pegar mal","21/06/2018"
"Champions: Temporada 1: Vovozinha Querida","21/06/2018"
"Champions: Temporada 1: Vincetal","21/06/2018"
"Champions: Temporada 1: Meu Belo Tio","20/06/2018"
"Champions: Temporada 1: Lumps","20/06/2018"
"Um maluco no pedaço: Temporada 2: Crise de meia-idade","20/06/2018"
"Champions: Temporada 1: Acho que vou tolerar esse lugar","20/06/2018"
"Champions: Temporada 1: Piloto","20/06/2018"
"Um maluco no pedaço: Temporada 2: Um noivo muito especial","20/06/2018"
"Um maluco no pedaço: Temporada 2: Viúva alegre","20/06/2018"
"Um maluco no pedaço: Temporada 2: Passando no teste","18/06/2018"
"Um maluco no pedaço: Temporada 2: Will pega no batente","18/06/2018"
"Um maluco no pedaço: Temporada 2: Confusão de gente grande","18/06/2018"
"Um maluco no pedaço: Temporada 2: Movendo céus e terra","18/06/2018"
"Brooklyn Nine-Nine: Temporada 4: O auditor","18/06/2018"
"Um maluco no pedaço: Temporada 1: Troca de favores","17/06/2018"
"Um maluco no pedaço: Temporada 1: O primeiro encontro","17/06/2018"
"Um maluco no pedaço: Temporada 1: 72 horas","17/06/2018"
"Um maluco no pedaço: Temporada 1: A tacada dos Banks","17/06/2018"
"Um maluco no pedaço: Temporada 1: O amor é burro","17/06/2018"
"Um maluco no pedaço: Temporada 1: Moça de fino trato","17/06/2018"
"Um maluco no pedaço: Temporada 1: Linda e mandona","16/06/2018"
"Um maluco no pedaço: Temporada 1: Jovens indomáveis","16/06/2018"
"Brooklyn Nine-Nine: Temporada 4: O fugitivo - Parte 2","16/06/2018"
"Um maluco no pedaço: Temporada 1: Aula de história","16/06/2018"
"Um maluco no pedaço: Temporada 1: Uma questão de sorte","15/06/2018"
"Brooklyn Nine-Nine: Temporada 4: O fugitivo - Parte 1","14/06/2018"
"Um maluco no pedaço: Temporada 1: Decoração de Natal","14/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 10","14/06/2018"
"Uma ladra sem limites","14/06/2018"
"Um maluco no pedaço: Temporada 1: Começando com o pé esquerdo","14/06/2018"
"Um maluco no pedaço: Temporada 1: Saber é poder","14/06/2018"
"Um maluco no pedaço: Temporada 1: Deu a louca no peru","13/06/2018"
"Um maluco no pedaço: Temporada 1: Arrasando na quadra","13/06/2018"
"Um maluco no pedaço: Temporada 1: A festa é do mordomo","13/06/2018"
"Um maluco no pedaço: Temporada 1: Um dia você vai ter o seu príncipe: Parte 1","12/06/2018"
"Um maluco no pedaço: Temporada 1: Dando uma de poeta","11/06/2018"
"Um maluco no pedaço: Temporada 1: Identidade trocada","11/06/2018"
"Um maluco no pedaço: Temporada 1: Amigos, sempre amigos","11/06/2018"
"Um maluco no pedaço: Temporada 1: Não mexa com meu porco","11/06/2018"
"Um maluco no pedaço: Temporada 1: Missão: conquistar o pai","11/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 9","11/06/2018"
"Um maluco no pedaço: Temporada 1: Arrasa na bateria, Ashley","11/06/2018"
"Um maluco no pedaço: Temporada 1: A vida do maluco no pedaço","11/06/2018"
"Um maluco no pedaço: Temporada 4: Querer é poder: Parte 2","09/06/2018"
"Um maluco no pedaço: Temporada 4: Querer é poder: Parte 1","09/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 8","09/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 7","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 6","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 5","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 4","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 3","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 2","08/06/2018"
"Eu, tu e ela: Temporada 3: Episódio 1","08/06/2018"
"Eu, tu e ela: Temporada 2: Baby, Baby, Where Did Our Love Go?","08/06/2018"
"Eu, tu e ela: Temporada 2: Vodka e otimismo","08/06/2018"
"Eu, tu e ela: Temporada 2: O vício da sedução","08/06/2018"
"Eu, tu e ela: Temporada 2: Janis doida e a barriga de aluguel branquela","07/06/2018"
"Eu, tu e ela: Temporada 2: Qual o problema com vocês, Trakarskys?","07/06/2018"
"Eu, tu e ela: Temporada 2: Sensei chapado e o segredo do amor","07/06/2018"
"Eu, tu e ela: Temporada 2: Gato na caixa","07/06/2018"
"Eu, tu e ela: Temporada 2: Lembra da Ruby?","07/06/2018"
"Eu, tu e ela: Temporada 2: Como andar naquela bicicleta","07/06/2018"
"Eu, tu e ela: Temporada 2: A fada do sexo e a chama eterna","07/06/2018"
"That '70s Show: Temporada 1: O episódio na discoteca","06/06/2018"
"That '70s Show: Temporada 1: O barril","06/06/2018"
"That '70s Show: Temporada 1: O emprego de Eric","06/06/2018"
"That '70s Show: Temporada 1: Guerra dos machistas","06/06/2018"
"That '70s Show: Temporada 1: Correndo pelados","06/06/2018"
"That '70s Show: Temporada 1: O aniversário do Eric","02/06/2018"
"That '70s Show: Temporada 1: Piloto","02/06/2018"
"That '70s Show: Temporada 1: Ação de graças","02/06/2018"
"Ibiza: Tudo pelo DJ","02/06/2018"
"Vingadores: Era de Ultron","01/06/2018"
"Explicando: Temporada 1: K-Pop","31/05/2018"
"Ultimate Homem-Aranha: Temporada 1: Grande responsabilidade","31/05/2018"
"Ultimate Homem-Aranha: Temporada 1: Grande poder","30/05/2018"
"Cara Gente Branca: Volume 1: Capítulo II","29/05/2018"
"Cara Gente Branca: Volume 1: Capítulo I","29/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Capitão Letônia","29/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Desminando","29/05/2018"
"Brooklyn Nine-Nine: Temporada 4: O Ciclo do Fogo no Céu","29/05/2018"
"American Experience: Tesla","27/05/2018"
"Capitão América: O Primeiro Vingador","26/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Sr. Santiago","26/05/2018"
"Os Vingadores - The Avengers","25/05/2018"
"Sem Filhos","25/05/2018"
"Perfectos Desconocidos","25/05/2018"
"Mulheres Assassinas com Piers Morgan: Temporada 1: Episódio 1","25/05/2018"
"Hot Girls Wanted","25/05/2018"
"Thor – O Mundo Sombrio","24/05/2018"
"Homem de Ferro e Hulk - Super-Heróis Unidos","24/05/2018"
"Super 8","24/05/2018"
"Bem-vindo aos 40","24/05/2018"
"Meu Romance Perfeito","24/05/2018"
"Black Mirror: Temporada 4: Arkangel","21/05/2018"
"Be Somebody - Simples como o Amor","21/05/2018"
"Capitão América 2 - O Soldado Invernal","20/05/2018"
"Um estado de liberdade","20/05/2018"
"Mais uma Página","20/05/2018"
"Kickboxer – A Retaliação","20/05/2018"
"Brooklyn Nine-Nine: Temporada 4: O monstro do armário","20/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Halloween IV","20/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Turno da noite","19/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms - Parte 3","19/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms - Parte 2","19/05/2018"
"Born Strong","19/05/2018"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms - Parte 1","19/05/2018"
"Perdidos no Espaço: Temporada 1: Diamantes no céu","18/05/2018"
"Perdidos no Espaço: Temporada 1: Impacto","18/05/2018"
"Black Mirror: Temporada 4: USS Callister","16/05/2018"
"The Propaganda Game","16/05/2018"
"Riverdale: Temporada 1: Capítulo um: Na margem do rio","15/05/2018"
"A Barraca do Beijo","13/05/2018"
"Antes Só Do Que Mal Casado","13/05/2018"
"Gênio Diabólico: Temporada 1: Parte 1 - O crime","12/05/2018"
"O Mafioso","12/05/2018"
"Lá Vêm os Pais","08/05/2018"
"Perdoai as Nossas Dívidas","06/05/2018"
"Em Busca do Vale Encantado","05/05/2018"
"Tratamento de choque","05/05/2018"
"Troia: A Queda de Uma Cidade: Batalha na praia","04/05/2018"
"Troia: A Queda de Uma Cidade: Perseguição","02/05/2018"
"Possessão","01/05/2018"
"Marvel - Os Defensores: Minissérie: H de herói","01/05/2018"
"Troia: A Queda de Uma Cidade: Encurralados","01/05/2018"
"Troia: A Queda de Uma Cidade: Espólio da guerra","30/04/2018"
"Troia: A Queda de Uma Cidade: Condições","30/04/2018"
"Peixonauta: O Filme","28/04/2018"
"Um Negócio Brilhante","26/04/2018"
"Turma do Peito: Temporada 1: A maternidade é um parto","25/04/2018"
"Troia: A Queda de Uma Cidade: Sangue negro","25/04/2018"
"Eu Não Sou um Homem Fácil","25/04/2018"
"Damnation: Temporada 1: Episódio 10","24/04/2018"
"Damnation: Temporada 1: Episódio 9","24/04/2018"
"Damnation: Temporada 1: Episódio 8","24/04/2018"
"Perdas e Danos","23/04/2018"
"Quando Conheci El Chapo: Temporada 1: Destinos cruzados","23/04/2018"
"Damnation: Temporada 1: Episódio 7","22/04/2018"
"Damnation: Temporada 1: Episódio 6","22/04/2018"
"Damnation: Temporada 1: Episódio 5","22/04/2018"
"Damnation: Temporada 1: Episódio 4","22/04/2018"
"Damnation: Temporada 1: Episódio 3","22/04/2018"
"Damnation: Temporada 1: Episódio 2","22/04/2018"
"Damnation: Temporada 1: Episódio 1","22/04/2018"
"Lucifer: Temporada 2: O bom, o mau e o torrado","22/04/2018"
"Lucifer: Temporada 2: Simpatia pela Deusa","21/04/2018"
"Como Sobreviver a um Ataque Zumbi","21/04/2018"
"Spartacus: Blood and Sand: Matem-nos todos","21/04/2018"
"Lucifer: Temporada 2: Deus Johnson","21/04/2018"
"Lucifer: Temporada 2: Pequeno e esperto parasita","21/04/2018"
"Rick and Morty: Temporada 1: Realidade Virtual","21/04/2018"
"Dope: Temporada 1: Preferido da América","20/04/2018"
"Guerra de Ídolos: Temporada 1: Episódio 1","20/04/2018"
"Descompensada","20/04/2018"
"He Never Died","20/04/2018"
"6 Balões","20/04/2018"
"Californication: Temporada 1: Fear and Loathing at the Fundraiser","20/04/2018"
"Lucifer: Temporada 2: Candy Morningstar","20/04/2018"
"Lucifer: Temporada 2: Um bom dia para morrer","20/04/2018"
"Lucifer: Temporada 2: O controle do amor","20/04/2018"
"Lucifer: Temporada 2: Aeromoça interrompida","20/04/2018"
"Lucifer: Temporada 2: Maldita advogada","20/04/2018"
"Lucifer: Temporada 2: Destruidor de lares","20/04/2018"
"Lucifer: Temporada 2: A trilha das punhaladas","20/04/2018"
"Lucifer: Temporada 2: Minha filha querida","20/04/2018"
"Le Chalet: Temporada 1: Episódio 6","19/04/2018"
"Le Chalet: Temporada 1: Episódio 5","19/04/2018"
"Le Chalet: Temporada 1: Episódio 4","19/04/2018"
"Le Chalet: Temporada 1: Episódio 3","19/04/2018"
"Rosario Tijeras: Temporada 1: Episódio 1","19/04/2018"
"Lucifer: Temporada 2: Eu sou um monstro","19/04/2018"
"Le Chalet: Temporada 1: Episódio 2","18/04/2018"
"Le Chalet: Temporada 1: Episódio 1","18/04/2018"
"A Rainha do Tráfico: Temporada 1: Episódio 1","18/04/2018"
"Lucifer: Temporada 2: Arma pesada","18/04/2018"
"Lucifer: Temporada 2: Partes íntimas","18/04/2018"
"Lucifer: Temporada 2: Engolidor de pecados","18/04/2018"
"Bad Guys: Vile City: Temporada 1: Episódio 1","18/04/2018"
"Lucifer: Temporada 2: Mentira cabeluda","17/04/2018"
"Lucifer: Temporada 2: Direto do Inferno","17/04/2018"
"O Chefinho - De Volta aos Negócios: Temporada 1: Scooter Buskie","16/04/2018"
"A História Oficial da Copa do Mundo FIFA: Temporada 1: Parte 1","16/04/2018"
"Doctor Foster: Temporada 1: Episódio 1","14/04/2018"
"Million Yen Women: Temporada 1: Mulheres misteriosas","14/04/2018"
"Lugares Escuros","14/04/2018"
"Atividade Paranormal: Dimensão Fantasma","14/04/2018"
"Godless: Minissérie: A mulheres de La Belle","14/04/2018"
"Atração Fatal","13/04/2018"
"Vingança Implacável","13/04/2018"
"Lucifer: Temporada 1: Me leve de volta ao Inferno","13/04/2018"
"Lucifer: Temporada 1: #EquipeLucifer","13/04/2018"
"Lucifer: Temporada 1: Santo Lucifer","12/04/2018"
"Lucifer: Temporada 1: Pops","12/04/2018"
"Lucifer: Temporada 1: Um padre entra no bar","11/04/2018"
"Lucifer: Temporada 1: Até tu, Doutora?","11/04/2018"
"All About Love: Temporada 1: Episódio 1","11/04/2018"
"Fatal Attraction: Temporada 2: Emboscada de amor","11/04/2018"
"Tekken","11/04/2018"
"Edmilson Filho: Notas, Uma Comédia de Relacionamentos","10/04/2018"
"Ninja II - A Vingança","10/04/2018"
"Esposa de mentirinha","09/04/2018"
"Seven Seconds: Temporada 1: Piloto","07/04/2018"
"Scandal: Temporada 1: Bebê linda","07/04/2018"
"Órbita 9","07/04/2018"
"O Quarto de Jack","07/04/2018"
"Simplesmente complicado","06/04/2018"
"Crônicas Sexuais de uma Família Francesa","05/04/2018"
"Dinastia: Temporada 1: Coisas horríveis","04/04/2018"
"Dinastia: Temporada 1: As melhores coisas da vida","04/04/2018"
"Dinastia: Temporada 1: O gosto do próprio veneno","04/04/2018"
"Dinastia: Temporada 1: Só existo para mim","04/04/2018"
"Dinastia: Temporada 1: Vadia da empresa","02/04/2018"
"Marvel - Jessica Jones: Temporada 2: Parque de diversões","02/04/2018"
"Take Your Pills","02/04/2018"
"Super Dark Times","01/04/2018"
"Marvel - Luke Cage: Temporada 1: Code of the Streets","31/03/2018"
"Marvel - Luke Cage: Temporada 1: Moment of Truth","31/03/2018"
"Sangue na Boca","31/03/2018"
"Agente Carter: Temporada 1: O fim não é agora","31/03/2018"
"Marvel - Jessica Jones: Temporada 2: Rezem pela minha Patsy","31/03/2018"
"Marvel - Jessica Jones: Temporada 2: Três vidas e contando","30/03/2018"
"Marvel - Jessica Jones: Temporada 2: Costelinha de porco","30/03/2018"
"Marvel - Jessica Jones: Temporada 2: Entre o tubarão e o monstro","29/03/2018"
"Marvel - Jessica Jones: Temporada 2: Instinto maternal","29/03/2018"
"Marvel - Jessica Jones: Temporada 2: Loucura, loucura","29/03/2018"
"Marvel - Jessica Jones: Temporada 2: Cara a cara","29/03/2018"
"A Promotora  de  Ferro: Temporada 1: Episódio 1","29/03/2018"
"El Desconocido: A História de Cholo Adrián: Temporada 1: Episódio 1","29/03/2018"
"Cão Selvagem","28/03/2018"
"Wynonna Earp: Temporada 1: Purgatório","28/03/2018"
"Contágio Letal","28/03/2018"
"Palmeiras na Neve","28/03/2018"
"Anatomy of a Love Seen","28/03/2018"
"The Ridiculous 6","28/03/2018"
"Judge Archer","28/03/2018"
"Kill Bill: Vol. 2","27/03/2018"
"Legião","27/03/2018"
"Vincent N Roxxy","27/03/2018"
"Final Girl","27/03/2018"
"King: Uma História de Vingança","27/03/2018"
"Marvel - Jessica Jones: Temporada 2: O polvo","27/03/2018"
"Jogo Perigoso","27/03/2018"
"Lilyhammer: Temporada 1: Cara-a-cara com a realidade","27/03/2018"
"Mãos Sujas","27/03/2018"
"RuPaul's Drag Race: Temporada 6: Drag-hop","27/03/2018"
"Até que o Casamento nos Separe","27/03/2018"
"Blitz","27/03/2018"
"Merantau","27/03/2018"
"O Mecanismo: Temporada 1: Juízo final","25/03/2018"
"O Mecanismo: Temporada 1: O último respiro","25/03/2018"
"O Mecanismo: Temporada 1: Eles sabiam de tudo","25/03/2018"
"O Mecanismo: Temporada 1: Olhos vermelhos","25/03/2018"
"Marvel - Jessica Jones: Temporada 2: Assassina interior","25/03/2018"
"Foo Fighters: Back and Forth","24/03/2018"
"O Mecanismo: Temporada 1: Fundo falso","24/03/2018"
"O Mecanismo: Temporada 1: Ventos frios vindos do sul","24/03/2018"
"O Mecanismo: Temporada 1: Halawi","24/03/2018"
"Tropa de Elite","24/03/2018"
"Headshot","23/03/2018"
"Edha: Temporada 1: A marca da vingança","19/03/2018"
"Na Rota do Dinheiro Sujo: Temporada 1: O banco dos cartéis","19/03/2018"
"O Mistério de Levenger","17/03/2018"
"Marvel - Jessica Jones: Temporada 2: Única sobrevivente","17/03/2018"
"Branquinha","16/03/2018"
"Proposta Indecente","16/03/2018"
"O virgem de 40 anos","16/03/2018"
"Zumbo's Just Desserts: Temporada 1: Episódio 1","16/03/2018"
"Pyaar Ka Punchnama 2","16/03/2018"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 1","15/03/2018"
"Marvel - Jessica Jones: Temporada 2: Um terrível acidente","15/03/2018"
"Ingobernable: Temporada 1: Momentos de decisão","15/03/2018"
"Road Games","15/03/2018"
"Juana Inés: Temporada 1: Pelo menos, olhe para mim","15/03/2018"
"Revenge: Temporada 3: Medo","15/03/2018"
"Tabula Rasa: Temporada 1: Spectre","15/03/2018"
"Marvel - Jessica Jones: Temporada 2: Comece do início","15/03/2018"
"Dinastia: Temporada 1: Particular como um circo","14/03/2018"
"The Tudors: Temporada 1: A sangue frio","13/03/2018"
"S.O.S.: Mulheres ao Mar","13/03/2018"
"#realityhigh","13/03/2018"
"Saving Grace: Temporada 1: Piloto","13/03/2018"
"Marvel - Jessica Jones: Temporada 1: Moça bonita não paga","13/03/2018"
"FullMetal Alchemist","13/03/2018"
"Love: Temporada 1: O começo","13/03/2018"
"Kill Bill: Vol. 1","13/03/2018"
"Californication: Temporada 1: The Whore Of Babylon","12/03/2018"
"Californication: Temporada 1: Hell-A Woman","12/03/2018"
"A Rainha do Sul: Temporada 1: Piloto","12/03/2018"
"Now More Than Ever: The History of Chicago","12/03/2018"
"Dinastia: Temporada 1: Culpa é para gente insegura","12/03/2018"
"Ele não está tão a fim de você","11/03/2018"
"As Casas Mais Extraordinárias do Mundo: Temporada 1: Montanha","10/03/2018"
"A Salvação","10/03/2018"
"Godless: Minissérie: Aconteceu em Creede","10/03/2018"
"The Killing: Temporada 1: Piloto","10/03/2018"
"O próximo convidado dispensa apresentação com David Letterman: Temporada 1: Malala Yousafzai","10/03/2018"
"Dinastia: Temporada 1: Reunião de família","10/03/2018"
"The Rover: A Caçada","08/03/2018"
"Rastro de Maldade","08/03/2018"
"Promessas de Guerra","08/03/2018"
"O Duelo","08/03/2018"
"Sem Perdão","06/03/2018"
"Rambo IV","06/03/2018"
"Ghost Wars: Temporada 1: Portal da morte","04/03/2018"
"Power Rangers Lost Galaxy: Temporada 1: Quasar Quest: Parte 2","04/03/2018"
"Power Rangers Lost Galaxy: Temporada 1: Quasar Quest: Parte 1","04/03/2018"
"Turbo - Power Rangers 2","04/03/2018"
"O Imbatível III: Redenção","03/03/2018"
"Miss Fisher's Murder Mysteries: Temporada 1: Cocaína","03/03/2018"
"Rita: Temporada 1: A idealista","03/03/2018"
"Walking with Dinosaurs: The Giant Claw","03/03/2018"
"Dinastia: Temporada 1: Quase não te reconheci","03/03/2018"
"Ela Quer Tudo: Temporada 1: #SeJoga (DOUTRINA)","03/03/2018"
"Vingança Fatal","28/02/2018"
"Godzilla: Planeta dos Monstros: Parte 1: Planeta dos monstros","28/02/2018"
"Desnorteados","24/02/2018"
"Raio Negro: Temporada 1: Jesus negro","24/02/2018"
"As Telefonistas: Temporada 2: Capítulo 16: A inocência","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 15: As oportunidades","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 14: A solidão","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 13: Os segredos","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 12: A culpa","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 11: O ciúme","23/02/2018"
"As Telefonistas: Temporada 2: Capítulo 10: O pacto","23/02/2018"
"Raio Negro: Temporada 1: LaWanda: o livro do sepultamento","22/02/2018"
"As Telefonistas: Temporada 2: Capítulo 9: A escolha","22/02/2018"
"As Telefonistas: Temporada 1: Capítulo 8: O amor","22/02/2018"
"As Telefonistas: Temporada 1: Capítulo 7: As perdas","22/02/2018"
"As Telefonistas: Temporada 1: Capítulo 6: A família","21/02/2018"
"Raio Negro: Temporada 1: LaWanda: uma mensagem de esperança","21/02/2018"
"Raio Negro: Temporada 1: A ressurreição","21/02/2018"
"A noite dos mortos-vivos","21/02/2018"
"As Telefonistas: Temporada 1: Capítulo 5: O passado","21/02/2018"
"As Telefonistas: Temporada 1: Capítulo 4: Os sentimentos","21/02/2018"
"As Telefonistas: Temporada 1: Capítulo 3: As mentiras","20/02/2018"
"As Telefonistas: Temporada 1: Capítulo 2: As memórias","20/02/2018"
"Black Mirror: Temporada 4: Crocodilo","18/02/2018"
"Crouching Tiger, Hidden Dragon: Sword of Destiny","18/02/2018"
"Kung-fusão","18/02/2018"
"A Vida Secreta de Zoe","18/02/2018"
"Terapia do Prazer","18/02/2018"
"The Good Place: Temporada 1: Tudo está bem","18/02/2018"
"Joel McHale Show com Joel McHale: Temporada 1 - Parte 1: Sangue, suor e acidentes","18/02/2018"
"As Telefonistas: Temporada 1: Capítulo 1: Os sonhos","18/02/2018"
"Minha Mulher Mafiosa 3","17/02/2018"
"Kung fu futebol clube","17/02/2018"
"Nocaute","17/02/2018"
"Perfeita pra Você","17/02/2018"
"Everything Sucks!: Temporada 1: Plutônio","17/02/2018"
"Clinical","16/02/2018"
"Grandes Olhos","16/02/2018"
"Eu, tu e ela: Temporada 1: Cigarros, salgadinhos e afins","16/02/2018"
"Quantico: Temporada 1: Corra","16/02/2018"
"Agentes Fora da Lei: Temporada 1: Máquina quebrada","16/02/2018"
"Agentes Fora da Lei: Temporada 1: O colecionador","16/02/2018"
"Agentes Fora da Lei: Temporada 1: Piloto","16/02/2018"
"A Guarda do Leão: Temporada 1: O retorno do rugido - Parte 1","16/02/2018"
"Aeon Flux - Operação Terminus","16/02/2018"
"9mm: São Paulo: Temporada 1: Aqui se faz, aqui se paga","16/02/2018"
"Guerreiro","16/02/2018"
"Mala Mala","16/02/2018"
"Delhi Belly","16/02/2018"
"Cuatro lunas","16/02/2018"
"O Mistério das Duas Irmãs","16/02/2018"
"1303 - Apartamento do Mal","16/02/2018"
"Paixão sem limites","16/02/2018"
"Girlboss: Temporada 1: Sophia","15/02/2018"
"Ponto Cego: Temporada 1: Oito risos forçados","15/02/2018"
"Ponto Cego: Temporada 1: Um uivo ao longe","15/02/2018"
"Ponto Cego: Temporada 1: Piloto","15/02/2018"
"Desejarás o noivo da sua irmã","15/02/2018"
"What the Health","13/02/2018"
"Sobrenatural","13/02/2018"
"Orphan Black: Temporada 1: Seleção natural","13/02/2018"
"Onde os fracos não têm vez","12/02/2018"
"O estranho sem nome","12/02/2018"
"Desperate Housewives: Temporada 1: Piloto","12/02/2018"
"Boyhood - Da Infância à Juventude","12/02/2018"
"Sovdagari - O Mercador","12/02/2018"
"O Nevoeiro: Temporada 1: Piloto","12/02/2018"
"Disjointed: Parte 1: A erva da Eva","12/02/2018"
"The Walking Dead: Temporada 5: O que foi e o que está sendo","11/02/2018"
"White Nights: Temporada 1: Episódio 1","11/02/2018"
"Reign: Temporada 1: Piloto","11/02/2018"
"The Gates: Temporada 1: Piloto","11/02/2018"
"Plano B","11/02/2018"
"Joe","10/02/2018"
"The Client List: Temporada 1: A pegada do subúrbio","10/02/2018"
"Zerando a Vida","10/02/2018"
"Gênios do Crime","10/02/2018"
"BoJack Horseman: Temporada 1: BoJack Horseman: Temporada 1: A história de BoJack, capítulo 1","10/02/2018"
"Onde Está Segunda?","10/02/2018"
"Arrow: Temporada 1: A empresa","09/02/2018"
"Amores Canibais","09/02/2018"
"Fútil e Inútil","09/02/2018"
"Profissão de Risco","08/02/2018"
"Cinquenta Tons de Cinza","08/02/2018"
"O Leitor","08/02/2018"
"Residue: Temporada 1: Episódio 1","08/02/2018"
"King Cobra","08/02/2018"
"Um drink no inferno","08/02/2018"
"Jadotville","08/02/2018"
"Disjointed: Parte 1: A variedade perfeita","08/02/2018"
"Disjointed: Parte 2: A ponte para a maconha","08/02/2018"
"Disjointed: Parte 2: Infusão revitalizadora do Dr. Dankerson","08/02/2018"
"Disjointed: Parte 2: Associação de Velhos Emaconhados","08/02/2018"
"Disjointed: Parte 2: Imperador Shennong","08/02/2018"
"Pulp Fiction - Tempo de violência","07/02/2018"
"Parker","07/02/2018"
"Big Mouth: Temporada 1: O milagre da ejaculação","07/02/2018"
"O Acordo","07/02/2018"
"Disjointed: Parte 2: T.S.P.M.P.G","05/02/2018"
"Disjointed: Parte 2: Reserva particular Travíssimo","05/02/2018"
"O Atirador: Temporada 2: Grupo de caça","04/02/2018"
"O próximo convidado dispensa apresentação com David Letterman: Temporada 1: Barack Obama","03/02/2018"
"Altered Carbon: Temporada 1: Fuga do passado","03/02/2018"
"O Atirador: Temporada 1: Primeiro contato","03/02/2018"
"O Atirador: Temporada 1: Vantagem balística","03/02/2018"
"O Atirador: Temporada 1: Guerras paralelas","03/02/2018"
"Disjointed: Parte 2: Roda da erva","03/02/2018"
"O Atirador: Temporada 1: Perigo imediato","02/02/2018"
"Disjointed: Parte 2: Erva light","02/02/2018"
"Disjointed: Parte 2: Sonho de hélio","01/02/2018"
"Disjointed: Parte 2: Fantasia 4:20","01/02/2018"
"Doze homens e outro segredo","31/01/2018"
"Bem-vindo à Prisão","30/01/2018"
"Fuga de Alcatraz","27/01/2018"
"O Atirador: Temporada 1: Zona mortal","27/01/2018"
"Chefes do Tráfico: Temporada 1: O cartel de Cali","20/01/2018"
"Chefes do Tráfico: Temporada 1: Pablo Escobar","20/01/2018"
"Atypical: Temporada 1: A característica silenciadora da neve","20/01/2018"
"Atypical: Temporada 1: O pobre Almôndega morreu","20/01/2018"
"Atypical: Temporada 1: Hora de agasalhar o croquete","19/01/2018"
"Atypical: Temporada 1: Esse moletom é meu","19/01/2018"
"Atypical: Temporada 1: Um cheiro agradável e neutro","18/01/2018"
